# Annotated with Bakta
# Software: v1.8.2
# Database: v5.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	64	1362	+	LCCHNM_00005	dnaA	chromosomal replication initiator protein DnaA	COG:COG0593, COG:L, GO:0003688, GO:0005524, GO:0005737, GO:0006270, GO:0006275, KEGG:K02313, SO:0001217, UniRef:UniRef50_Q04N63, UniRef:UniRef90_Q04N63
contig_1	oriC	1363	1520	?			origin of replication	
contig_1	cds	1521	2657	+	LCCHNM_00010	dnaN	DNA polymerase III subunit beta	COG:COG0592, COG:L, EC:2.7.7.7, GO:0003677, GO:0003887, GO:0005737, GO:0006271, GO:0008408, GO:0009360, KEGG:K02338, SO:0001217, UniRef:UniRef50_O54376, UniRef:UniRef90_O06672
contig_1	cds	2722	2916	+	LCCHNM_00015		DUF951 domain-containing protein	COG:COG4481, COG:S, RefSeq:WP_125452622.1, SO:0001217, UniParc:UPI000F65CBF1, UniRef:UniRef100_A0A3R9JWF5, UniRef:UniRef50_A0A1C3SSL2, UniRef:UniRef90_E8K1X0
contig_1	cds	3001	4116	+	LCCHNM_00020	ychF	redox-regulated ATPase YchF	COG:COG0012, COG:J, SO:0001217, UniRef:UniRef50_P37518, UniRef:UniRef90_A0A0E2UGZ4
contig_1	cds	4189	4758	+	LCCHNM_00025	pth	aminoacyl-tRNA hydrolase	COG:COG0193, COG:J, EC:3.1.1.29, GO:0004045, GO:0005737, GO:0006412, SO:0001217, UniRef:UniRef50_Q5XEM3, UniRef:UniRef90_Q04N59
contig_1	cds	4759	8262	+	LCCHNM_00030	mfd	transcription-repair coupling factor	COG:COG1197, COG:LK, SO:0001217, UniRef:UniRef50_Q9A205, UniRef:UniRef90_A0A3R9N9L5
contig_1	cds	8320	8586	+	LCCHNM_00035	hslR	Uncharacterized protein spr0007	COG:COG1188, COG:J, GO:0003723, SO:0001217, UniRef:UniRef50_Q9ZIM1, UniRef:UniRef90_P64405
contig_1	cds	8579	8947	+	LCCHNM_00040		Septum formation initiator	SO:0001217, UniRef:UniRef50_U2ZVZ3, UniRef:UniRef90_A0A3R9R776
contig_1	cds	8952	9074	+	LCCHNM_00045		SP_0009 family protein	RefSeq:WP_000429334.1, SO:0001217, UniParc:UPI0000051B9F, UniRef:UniRef100_A0A0E2P5H7, UniRef:UniRef50_A0A0M5KJK1, UniRef:UniRef90_A0A0M5KJK1
contig_1	cds	9067	10335	+	LCCHNM_00050	penP	Beta-lactamase class A	COG:COG2367, COG:V, SO:0001217, UniRef:UniRef50_A0A1S0ZDZ2, UniRef:UniRef90_D3H625
