qpid	cluster_GSZ	cluster_RM1sum	cluster_size	cluster_desccount	RM2	val_avg	jac_avg	desc	genename
LCCHNM_00005	680.876954417	80.1989545501	99	44290	0.918611562106	0.106148122725	0.000113764734321	Chromosomal replication initiator protein DnaA	DNAA
LCCHNM_00005	452.528643861	0.80084524102	1	2	0.772334488613	0.00249628502302	3.4343092862e-10	DNA biosynthesis, initiation, binding protein	DNAA
LCCHNM_00010	723.978018522	82.5056512095	100	39971	0.964530899517	0.16025572051	0.000208011897203	Beta sliding clamp	DNAN
LCCHNM_00015	1110.40227386	30.9629151125	39	6006	1.22345850611	0.357084675179	0.00213593594049	DUF951 domain-containing protein	
LCCHNM_00015	33.4375822174	3.19052206887	4	69851	0.652873078764	0.0933924554561	2.22425215283e-06	Cytoplasmic protein	
LCCHNM_00020	775.292144637	81.6312573372	100	34857	1.02571367717	0.236965296777	0.000260601084622	Ribosome-binding ATPase YchF	YCHF
LCCHNM_00025	607.136237965	80.895558924	100	56822	1.09012991926	0.485424862878	1.23372962698e-05	Peptidyl-tRNA hydrolase	PTH
LCCHNM_00030	727.708600893	81.133645844	100	39575	1.12973885002	0.469160810688	9.00012398947e-06	Transcription-repair-coupling factor	MFD
LCCHNM_00035	684.57223276	49.252002336	61	21724	0.988502450068	0.235220483084	0.000335046500028	RNA-binding S4 domain-containing protein	HSLR
LCCHNM_00035	318.565212436	12.3363510935	15	6293	0.753168894999	0.067439129334	3.57387165933e-06	Heat shock protein 15	HSLR
LCCHNM_00040	693.722981725	63.0851357366	83	29985	0.970360664576	0.194092122837	0.000132339138732	Septum formation initiator	DIVIC
LCCHNM_00040	210.156247963	12.9305618728	17	13720	0.698641449965	0.0463717724534	9.55689955062e-05	Cell division protein DivIC	DIVIC
LCCHNM_00045	2.31048628498e-10	0.784554011414	1	3187	1.11362990204	0.987980769231	4.71720461622e-06	Extracellular protein	
LCCHNM_00050	556.305888493	81.5976555486	100	67692	0.812522355397	0.0	0.0	beta-lactamase	
LCCHNM_00055	740.966221712	78.8986276466	99	37774	1.14613608767	0.490093267688	8.35550829934e-06	tRNA(Ile)-lysidine synthase	TILS
LCCHNM_00060	749.159774451	80.9224704085	100	37326	1.02088294882	0.247571271806	0.000313249331207	Hypoxanthine phosphoribosyltransferase	HPT
LCCHNM_00065	625.416964077	80.5648291632	98	51461	0.925296303793	0.16061807977	9.67942125497e-05	ATP-dependent zinc metalloprotease FtsH	FTSH
LCCHNM_00065	267.075523541	0.816620655508	1	29	0.698629073427	0.00339387002238	5.64491429306e-06	ATP-dependent metallopeptidase HflB (Fragment)	FTSH
LCCHNM_00065	34.3998192668	0.817045550465	1	1747	0.603759927707	0.0	0.0	Cell-division protein (Fragment)	FTSH
LCCHNM_00070	4475.29956645	21.9273839094	27	82	2.40218583264	0.0416325990747	3.6427310301e-05	Competence-specific global transcription modulator	
LCCHNM_00070	81.597552579	35.236698875	44	630596	0.647319314223	0.0465644139435	5.7690088889e-05	Transcriptional regulator	
LCCHNM_00070	95.5769108255	19.1801906034	24	136933	0.639645256351	0.021536706938	1.86717299405e-06	Sigma-70 family RNA polymerase sigma factor	
LCCHNM_00110	5777.34845526	64.5185401559	85	501	3.05622508288	0.292975205508	0.000442092640353	Recombinase RecX	RECX
LCCHNM_00110	2102.83764574	4.32580825613	6	17	1.45579777052	0.0464664351294	0.00177508004799	Competence positive regulator ComW	RECX
LCCHNM_00115	666.890549779	81.8055239839	100	47096	0.980013752553	0.232556901271	0.000118748379673	Adenylosuccinate synthetase	PURA
LCCHNM_00125	736.420203298	81.074219668	100	38635	0.954121759764	0.131231570928	4.72926436234e-05	tRNA-specific adenosine deaminase	TADA
LCCHNM_00135	1286.22284344	81.1162196698	100	12665	1.23069588559	0.238091434244	0.00091440337501	dUTP diphosphatase	DUT
LCCHNM_00140	207.515859577	25.4959790074	32	74883	0.796973375825	0.233899867878	5.10094955981e-06	Histidine phosphatase family protein	
LCCHNM_00140	252.595155646	23.5986036525	31	43316	0.772369003597	0.153454121365	1.28507417609e-05	Phosphoglycerate mutase	
LCCHNM_00140	192.625686128	4.08409158016	6	2232	0.725686652378	0.110634586984	2.34125279867e-06	Bifunctional RNase H/acid phosphatase	
LCCHNM_00140	23.3885296911	0.663955031714	1	3990	0.636949549201	0.0709322690013	1.73769511649e-06	Broad specificity phosphatase PhoE	
LCCHNM_00140	7.88291507076	0.631458499587	1	31064	0.59526539616	0.00398533522717	1.23049791294e-07	Deoxyuridine 5'-triphosphate nucleotidohydrolase	
LCCHNM_00145	761.286718893	80.8652217215	100	36153	0.982410900077	0.165836822518	0.000134829233136	DNA repair protein RadA	RADA
LCCHNM_00150	404.050746682	58.1766528547	76	70696	0.870096987066	0.223536109438	0.000127519530617	Carbonic anhydrase	MTCA1
LCCHNM_00150	510.505383812	19.7365716044	24	5099	0.8555545442	0.115749832371	0.000248975929884	Carbonate dehydratase	MTCA1
LCCHNM_00155	981.215429158	50.562989616	62	13021	1.08271548172	0.189099924268	0.000317509550074	PrsW family intramembrane metalloprotease	
LCCHNM_00155	58.0140095696	1.74082031213	2	4410	0.613862141089	0.00123874952328	7.03738592207e-10	Membrane protein, putative	
LCCHNM_00160	745.468691891	80.6792122039	99	36890	1.12275206387	0.442558190309	0.000437312380221	Ribose-phosphate pyrophosphokinase	PRS
LCCHNM_00160	11.0268710415	0.878601351687	1	19654	0.595147804965	0.00139067198181	1.99002887983e-08	Ribose-phosphate diphosphokinase	PRS
LCCHNM_00165	4308.30726839	2.99249265281	4	45	2.31332290736	0.0	0.0	Amylase-binding protein	
LCCHNM_00170	2326.51174565	3.84048050672	6	15	1.52739883995	0.0128191231078	3.22161341419e-07	Surface protein cell wall anchor	SRTB
LCCHNM_00170	932.953403313	51.6241446364	75	16853	1.04368238945	0.151859655137	0.000770545031036	Class B sortase	SRTB
LCCHNM_00180	1299.16118378	3.20272104323	5	141	1.13706364377	0.05169647446	1.93983224082e-06	Sialidase A	
LCCHNM_00180	714.416346651	1.95084270348	3	173	0.910807948251	0.0661155716027	7.83206082915e-06	Surface protein pspA	
LCCHNM_00180	636.578935182	4.35530766744	7	1086	0.907051845595	0.117747981981	0.000692053630454	Maebl	
LCCHNM_00180	101.062547994	3.7542478211	6	31984	0.672522998075	0.0794300582191	2.40104676392e-06	LPXTG cell wall anchor domain-containing protein	
LCCHNM_00180	83.7071070786	0.558614128385	1	1033	0.629651798125	0.0116395078151	8.07571368505e-07	Gram-positive signal peptide protein, YSIRK family	
LCCHNM_00180	19.248469895	0.572052475816	1	20394	0.625179636365	0.051849436452	2.35436074535e-06	Gram-positive cocci surface proteins LPxTG domain-containing protein	
LCCHNM_00185	1836.8229262	70.1420446936	89	5288	1.57040366863	0.463532789214	0.000105993089323	Cyclic-di-AMP phosphodiesterase	
LCCHNM_00185	76.218717841	3.17896618795	4	6300	0.625319165755	0.00911625394365	3.20143116784e-06	DHH family phosphoesterase	
LCCHNM_00190	732.329105464	80.7153551201	99	38270	0.943922758234	0.115074760346	7.46532348835e-05	Large ribosomal subunit protein bL9	RPLI
LCCHNM_00190	45.1475867546	0.813488358254	1	1022	0.617091135018	0.0170416820962	4.40270155092e-07	50S ribosomal protein L9	RPLI
LCCHNM_00195	678.262703895	82.7497384789	100	45538	0.949200824947	0.165836881944	0.000109797901856	Replicative DNA helicase	DNAB
LCCHNM_00200	884.918790118	21.4817065209	26	6954	0.998618264139	0.103113490091	2.99171864671e-05	CAAX amino protease family protein	
LCCHNM_00205	3885.44171567	27.6794204736	45	283	2.18643796979	0.0797382174443	1.41379946623e-06	Choline binding protein D	CBPD
LCCHNM_00205	771.082119008	13.7457764537	22	1772	0.965849566443	0.127177084812	0.000643194451923	Autolysin	CBPD
LCCHNM_00205	338.2446633	14.6968095764	24	10524	0.783478767841	0.109769000873	0.000166602921528	CHAP domain-containing protein	CBPD
LCCHNM_00205	429.509880705	0.575171979667	1	2	0.766460639623	0.0087812540777	0.000131134006164	CbpD2 amidase	CBPD
LCCHNM_00205	398.50511193	0.631426893008	1	14	0.750712152921	0.00247188680445	4.07148701396e-07	Choline binding-anchored murein hydrolase CbpD	CBPD
LCCHNM_00205	117.735088592	0.570680096556	1	131	0.637094035437	0.0	0.0	Glucan-binding domain-containing protein (YG repeat)	CBPD
LCCHNM_00205	25.5400259822	2.91498154392	5	71634	0.607254703344	0.0132805364008	4.32957436291e-07	SH3 domain-containing protein	CBPD
LCCHNM_00210	1327.55271974	72.4028204795	91	10824	1.1210210879	0.0	0.0	Thiamine-binding protein domain-containing protein	
