qpid	ontology	goid	desc	ARGOT_score	ARGOT_PPV	ARGOT_rank	goclasscount
LCCHNM_00005	MF	0003688	DNA replication origin binding	10.8325323184	0.782594038642	1	99
LCCHNM_00005	BP	0006275	regulation of DNA replication	10.1819471739	0.768021054503	1	99
LCCHNM_00005	CC	0005737	cytoplasm	1.53616559561	0.484663998341	1	99
LCCHNM_00005	BP	0006270	DNA replication initiation	9.48208154433	0.751814196243	2	99
LCCHNM_00005	CC	0005886	plasma membrane	0.0256367987682	0.327948691445	4	1
LCCHNM_00005	MF	0016887	ATP hydrolysis activity	4.60075759624	0.61614494928	5	99
LCCHNM_00005	MF	0005524	ATP binding	3.05186823334	0.558358550099	12	99
LCCHNM_00010	CC	0009360	DNA polymerase III complex	9.63516063739	0.755408860712	1	100
LCCHNM_00010	MF	0003887	DNA-directed DNA polymerase activity	8.04358502286	0.716504838219	1	100
LCCHNM_00010	BP	0071897	DNA biosynthetic process	6.44560159064	0.673336509531	1	100
LCCHNM_00010	MF	0008408	3'-5' exonuclease activity	7.99340860293	0.715218395826	2	100
LCCHNM_00010	BP	0006260	DNA replication	5.99533613892	0.660227652413	2	100
LCCHNM_00010	CC	0005737	cytoplasm	1.53616308168	0.484663851085	8	100
LCCHNM_00010	MF	0003677	DNA binding	3.20632011615	0.564698029342	11	100
LCCHNM_00010	BP	0022616	DNA strand elongation	0.102511587653	0.351189309556	17	1
LCCHNM_00020	MF	0043023	ribosomal large subunit binding	10.1234871935	0.766689053377	1	100
LCCHNM_00020	CC	0005737	cytoplasm	0.0153521820547	0.322690849573	1	1
LCCHNM_00020	MF	0005525	GTP binding	5.98812655474	0.660013821401	5	100
LCCHNM_00020	MF	0016887	ATP hydrolysis activity	4.60075014446	0.616144697058	8	100
LCCHNM_00020	MF	0005524	ATP binding	3.05186329028	0.558358344675	14	100
LCCHNM_00025	MF	0004045	aminoacyl-tRNA hydrolase activity	10.9862913265	0.785973746935	1	100
LCCHNM_00025	BP	0006412	translation	3.30315779675	0.568595069971	1	100
LCCHNM_00025	CC	0005737	cytoplasm	1.53614484637	0.484662782935	1	100
LCCHNM_00030	BP	0000716	transcription-coupled nucleotide-excision repair, DNA damage recognition	11.5723844479	0.798644373599	1	99
LCCHNM_00030	MF	0003684	damaged DNA binding	8.47782503608	0.727474554992	1	99
LCCHNM_00030	CC	0005737	cytoplasm	1.52088399568	0.483766630382	1	99
LCCHNM_00030	MF	0004386	helicase activity	6.30957848315	0.669426055476	2	98
LCCHNM_00030	MF	0005524	ATP binding	3.02150859664	0.557093713478	6	99
LCCHNM_00030	BP	0006355	regulation of DNA-templated transcription	3.40137392723	0.572489661045	13	99
LCCHNM_00030	MF	0016787	hydrolase activity	2.25369392735	0.522678712763	18	100
LCCHNM_00035	MF	0003723	RNA binding	3.38262348145	0.571750531106	1	99
LCCHNM_00040	BP	0051301	cell division	6.14174408513	0.664542515855	1	100
LCCHNM_00040	CC	0016020	membrane	0.426406527435	0.399515325102	1	45
LCCHNM_00050	BP	0030655	beta-lactam antibiotic catabolic process	11.3485315166	0.793843684316	1	100
LCCHNM_00050	MF	0008800	beta-lactamase activity	11.056086495	0.787500076448	1	100
LCCHNM_00050	BP	0046677	response to antibiotic	8.14329361407	0.71904935139	7	100
LCCHNM_00055	BP	0006400	tRNA modification	6.38717449442	0.671661926299	1	99
LCCHNM_00055	MF	0016879	ligase activity, forming carbon-nitrogen bonds	6.23286202177	0.66720197147	1	99
LCCHNM_00055	CC	0005737	cytoplasm	1.52086012962	0.483765225399	1	99
LCCHNM_00055	MF	0005524	ATP binding	3.02146118244	0.557091733161	3	99
LCCHNM_00055	MF	0004422	hypoxanthine phosphoribosyltransferase activity	0.118213571063	0.354622955113	20	1
LCCHNM_00055	BP	0006166	purine ribonucleoside salvage	0.0985382493072	0.350279445495	22	1
LCCHNM_00060	MF	0052657	guanine phosphoribosyltransferase activity	12.1316615875	0.810439366191	1	98
LCCHNM_00060	BP	0032263	GMP salvage	11.7664056208	0.802767867223	1	98
LCCHNM_00060	CC	0005737	cytoplasm	1.53614216598	0.484662625928	1	100
LCCHNM_00060	MF	0004422	hypoxanthine phosphoribosyltransferase activity	11.8594381788	0.804733008411	2	100
LCCHNM_00060	BP	0032264	IMP salvage	11.0759480838	0.787933542387	2	98
LCCHNM_00060	BP	0006166	purine ribonucleoside salvage	9.88556783623	0.761228008028	3	100
LCCHNM_00060	MF	0000166	nucleotide binding	2.49643072239	0.53411741167	6	100
LCCHNM_00060	MF	0046872	metal ion binding	2.47637101927	0.533193827606	8	100
LCCHNM_00060	BP	0006178	guanine salvage	0.124177611053	0.35586680116	65	1
LCCHNM_00060	BP	0046100	hypoxanthine metabolic process	0.114216372524	0.353771665455	68	1
LCCHNM_00065	MF	0004176	ATP-dependent peptidase activity	9.08668760836	0.742392812729	1	100
LCCHNM_00065	BP	0030163	protein catabolic process	6.44325623319	0.673269435649	1	98
LCCHNM_00065	CC	0005886	plasma membrane	2.49844881889	0.534210122623	1	98
LCCHNM_00065	MF	0004222	metalloendopeptidase activity	7.33752459172	0.698015807549	2	100
LCCHNM_00065	BP	0006508	proteolysis	4.32452473359	0.606650538895	4	100
LCCHNM_00065	MF	0008270	zinc ion binding	5.07382536203	0.631765227532	5	100
LCCHNM_00065	MF	0016887	ATP hydrolysis activity	4.60077541177	0.616145552284	7	100
LCCHNM_00065	BP	0051301	cell division	2.28037684044	0.523965309938	7	37
LCCHNM_00065	MF	0005524	ATP binding	3.05188005111	0.55835904122	15	100
LCCHNM_00070	BP	0006352	DNA-templated transcription initiation	7.04421855274	0.690074547053	1	99
LCCHNM_00070	MF	0003700	DNA-binding transcription factor activity	4.55718743987	0.614666716088	1	99
LCCHNM_00070	BP	0006355	regulation of DNA-templated transcription	3.43548662334	0.573829154681	6	99
LCCHNM_00115	MF	0004019	adenylosuccinate synthase activity	11.4590906949	0.796220566696	1	100
LCCHNM_00115	BP	0044208	'de novo' AMP biosynthetic process	10.2730605875	0.770089457647	1	99
LCCHNM_00115	CC	0005737	cytoplasm	1.53616655794	0.48466405471	1	100
LCCHNM_00115	MF	0005525	GTP binding	5.9881400049	0.660014220443	3	100
LCCHNM_00115	MF	0000287	magnesium ion binding	5.66863699768	0.650405222072	6	100
LCCHNM_00115	MF	0005515	protein binding	0.0451654367643	0.335558138471	24	1
LCCHNM_00115	BP	0046040	IMP metabolic process	0.0758919023623	0.344700400163	43	1
LCCHNM_00125	MF	0052717	tRNA-specific adenosine-34 deaminase activity	11.908809371	0.805772753521	1	100
LCCHNM_00125	BP	0002100	tRNA wobble adenosine to inosine editing	11.4469217407	0.795959512819	1	100
LCCHNM_00125	MF	0008270	zinc ion binding	5.07370635263	0.631761391761	7	100
LCCHNM_00135	MF	0004170	dUTP diphosphatase activity	11.6474936545	0.800244725143	1	99
LCCHNM_00135	BP	0006226	dUMP biosynthetic process	10.8676612976	0.783368296258	1	99
LCCHNM_00135	BP	0046081	dUTP catabolic process	10.8469471696	0.782911899741	3	99
LCCHNM_00135	MF	0000287	magnesium ion binding	5.61202324999	0.648674578509	3	99
LCCHNM_00140	MF	0004170	dUTP diphosphatase activity	6.53907379157	0.675999817278	1	3
LCCHNM_00140	MF	0016853	isomerase activity	1.78860246224	0.498888509586	6	2
LCCHNM_00140	MF	0043755	alpha-ribazole phosphatase activity	1.56266662751	0.486209677468	7	1
LCCHNM_00145	MF	0140664	ATP-dependent DNA damage sensor activity	9.17593827641	0.744537099071	1	99
LCCHNM_00145	BP	0000725	recombinational repair	8.43986126171	0.726526898828	1	99
LCCHNM_00145	MF	0003684	damaged DNA binding	8.56300266358	0.729593077934	3	99
